pin,gender,marital_status,have_children,mvs_1,mvs_2,mvs_3,mvs_4,mvs_5,mvs_6,mvs_7,mvs_8,mvs_9,swls2019_1,swls2019_2,swls2019_3,swls2019_4,swls2019_5,swls2021_1,swls2021_2,swls2021_3,swls2021_4,swls2021_5
1,0,1,0,4,3,3,3,3,4,3,4,2,4,4,5,5,4,4,4,5,5,4
2,1,1,1,4,3,3,3,3,4,2,4,2,5,6,5,6,6,4,6,4,5,5
3,1,3,0,5,4,4,3,4,5,4,5,1,4,4,4,5,5,3,3,4,5,5
4,1,1,0,2,3,3,2,3,2,2,4,3,6,5,7,6,5,5,5,6,6,5
5,1,2,0,2,2,3,2,3,2,3,4,3,5,4,4,4,5,4,3,4,4,5
6,0,1,1,3,4,4,5,4,3,3,5,2,5,4,4,5,4,5,4,3,4,4
7,1,2,0,2,3,3,4,3,4,3,3,3,2,3,3,3,3,2,2,4,3,3
8,0,1,0,2,3,3,4,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3
9,1,2,0,3,4,4,3,4,5,4,4,2,5,5,5,4,5,4,4,5,4,5
10,0,1,1,2,3,3,4,2,2,3,3,4,5,5,5,6,6,5,5,4,5,6
11,0,3,0,2,2,3,4,2,2,1,3,4,5,5,4,4,5,5,4,4,4,5
12,1,2,0,3,4,4,4,3,3,4,4,3,3,4,4,4,4,2,3,4,4,4
13,1,3,0,2,1,2,2,3,3,4,2,4,4,3,3,4,3,3,2,3,4,3
14,0,3,0,2,3,2,2,3,3,1,2,4,5,5,4,5,4,5,4,4,5,4
15,0,3,1,3,2,3,4,4,4,5,3,3,4,4,3,4,3,4,3,2,3,3
16,1,1,1,3,3,4,3,4,2,1,3,3,5,4,4,4,5,4,4,3,3,4
17,0,1,1,3,2,4,3,4,2,3,3,3,5,4,4,5,5,5,4,3,4,5
18,0,1,1,4,4,5,4,5,3,2,4,2,6,6,5,6,6,6,6,4,5,6
19,0,3,0,3,3,3,4,3,4,3,4,3,4,5,4,4,4,4,4,4,4,4
20,0,3,1,3,2,3,4,3,4,3,4,3,5,4,4,5,5,5,3,3,4,5
21,0,3,0,4,4,4,5,4,5,4,5,2,4,4,4,4,4,4,3,4,4,4
22,0,3,0,4,3,4,4,4,4,3,3,3,3,3,4,4,4,3,2,4,4,4
23,1,3,0,4,2,4,4,4,4,3,3,3,3,3,4,4,3,2,2,4,4,3
24,1,2,0,5,4,5,4,5,5,4,4,2,3,4,4,4,4,2,3,4,4,4
25,0,2,1,3,2,2,2,4,4,4,4,3,4,5,5,4,4,4,4,4,3,4
26,0,3,1,3,2,2,2,4,4,1,4,3,3,4,4,3,4,3,3,3,2,4
27,1,3,0,4,3,3,5,5,5,5,5,2,4,4,3,3,4,3,3,3,3,4
28,1,3,1,3,1,2,3,3,4,4,4,3,5,7,5,6,5,4,5,4,5,4
29,1,3,1,3,3,2,3,3,4,1,4,3,4,5,5,4,5,3,4,4,3,4
30,0,2,1,4,2,3,4,4,5,5,5,2,3,3,4,4,3,3,2,3,3,3
31,0,1,1,2,4,4,2,4,2,2,3,3,5,5,6,5,5,5,5,5,4,5
32,0,3,1,2,2,4,2,4,2,1,3,3,5,5,4,5,5,5,4,3,4,5
33,1,1,0,3,5,5,4,5,3,3,4,2,5,6,5,6,6,4,6,5,6,6
34,0,3,1,3,2,2,2,2,3,2,3,3,4,5,4,5,5,4,4,3,4,5
